Locus_tag,Gene_name,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b2320,pdxB,77.999,91.818,92.595,98.303,75.259,89.913,90.681,106.986
b2321,flk,35.716,29.672,28.619,30.18,39.397,31.389,37.16,39.981
b2322,yfcJ,10.957,10.412,8.383,7.158,9.927,8.788,10.708,12.086
b2323,fabB,164.229,226.403,257.992,247.164,153.725,231.466,299.238,298.479
b2324,mnmC,16.462,26.908,26.591,24.529,18.051,25.101,26.99,28.66
b2325,yfcL,244.056,217.918,182.335,209.221,239.424,232.833,233.506,225.287
b2326,epmC,110.318,86.452,77.408,86.161,119.905,78.951,105.891,110.105
b2327,yfcA,70.631,61.932,53.621,57.112,70.028,50.975,53.62,77.88
b2328,mepA,62.601,71.583,62.009,60.525,62.103,62.635,68.798,91.765
b2329,aroC,102.844,116.574,112.007,108.915,102.091,100.057,132.746,150.626
b2330,prmB,113.878,167.475,157.497,158.603,118.833,148.657,138.381,168.701
b2331,smrB,88.837,67.724,75.951,75.123,72.406,72.171,95.102,103.849
b2332,yfcO,27.924,20.158,20.028,21.58,31.371,24.559,23.957,23.866
b2333,yfcP,0.736,0.702,0.578,0.338,1.664,0.91,0.949,0.783
b2334,yfcQ,0.66,0.413,0.532,0.16,1.241,0.731,0.938,0.333
b2335,yfcR,0.726,0.492,1.014,1.32,0.521,0.348,0.526,0.571
b2336,yfcS,0.924,0.168,0.173,0.381,0.387,0.178,0.358,0.605
b2339,yfcV,0.352,0.672,0.277,0.092,0.086,0.079,0.191,0.231
b2340,sixA,182.276,116.318,87.335,96.58,195.254,106.876,126.445,115.943
b2341,fadJ,7.122,2.426,3.334,2.805,5.739,2.863,9.017,9.601
b2342,fadI,13.283,2.081,3.63,3.119,9.872,2.776,7.017,8.264
b2343,yfcZ,486.377,912.527,1095.436,1283.733,570.836,927.241,1484.559,797.476
b2344,fadL,100.849,107.63,109.54,101.393,105.312,98.016,156.548,193.31
b2345,yfdF,2.674,2.004,1.277,2.066,2.706,1.35,2.7,2.273
b2346,mlaA,158.778,194.791,176.001,171.652,158.025,183.846,190.834,188.747
b2347,yfdC,5.006,4.332,6.077,7.482,5.413,4.452,5.262,4.394
b2348,argW,0,0,0,0,0,0,0,0
b2349,intS,15.274,12.433,12.083,9.537,16.523,9.565,12.533,12.474
b2350,yfdG,147.477,91.713,74.083,85.821,165.625,99.474,109.169,92.224
b2351,yfdH,159.732,146.976,126.679,127.155,141.552,113.74,153.189,163.375
b2352,yfdI,89.8,103.142,113.521,95.234,80.046,77.454,99.663,124.322
b2353,tfaS,18.529,11.671,8.068,11.691,19.874,9.434,10.328,10.093
b2354,yfdK,2.535,1.718,2.123,1.89,3.524,1.418,1.713,3.541
b2355,yfdL,0.239,0.389,0.401,0.1,0.094,0.861,0,0.251
b2356,yfdM,0,0,0,0,0.176,0.162,0,0
b2357,yfdN,0.201,0.102,0,0,0,0,0,0
b2358,yfdO,0.135,0.137,0,0,0,0.242,0,0
b2359,yfdP,2.669,1.948,1.863,1.507,4.281,2.03,1.784,1.434
b2360,yfdQ,2.861,2.204,1.828,2.179,2.001,1.489,1.962,2.918
b2361,yfdR,0,0.376,0,0.049,0.271,0.083,0.402,0
b2362,yfdS,0.411,0,0.215,0.718,0.134,0.185,0.743,0.717
b2363,yfdT,0.812,0.165,0.34,0.851,0.714,0.292,0.441,0.638
b2364,dsdC,5.786,10.201,8.002,11.298,8.301,8.35,9.742,8.62
b2365,dsdX,13.294,16.613,13.859,25.911,23.193,10.298,49.013,51.5
b2366,dsdA,157.089,364.92,297.907,375.661,267.082,228.635,363.766,368.03
b2367,emrY,1.42,1.346,0.913,1.388,1.499,1.045,1.052,1.733
b2368,emrK,0.64,0.825,1.519,1.164,0.355,1.074,0.742,1.174
b2369,evgA,228.909,207.989,224.218,237.054,200.335,164.196,298.978,310.155
b2370,evgS,75.721,53.007,48.253,48.667,74.467,40.275,80.824,89.789
b2371,yfdE,0.303,0.661,0.59,1.409,0.89,1.247,0.377,0.908
b2372,yfdV,0.421,0.748,0.633,0.717,0.668,0.189,1.17,1.377
b2373,oxc,1.378,1.252,0.921,1.26,0.917,0.817,1.385,1.42
b2374,frc,1.39,2.342,1.726,1.333,1.475,0.928,1.294,1.768
b2375,yfdX,2.969,1.271,2.126,1.884,1.222,2.247,1.866,1.842
b2376,ypdI,0.54,0,1.131,1.321,0.88,0,0,0.236
b2377,yfdY,84.646,52.182,52.016,91.113,95.129,67.82,72.825,56.499
b2378,lpxP,436.418,112.831,103.523,122.913,430.429,87.238,183.065,201.137
b2379,alaC,35.488,14.189,16.037,17.659,26.222,12.797,30.438,34.293
b2380,ypdA,27.329,16.84,15.485,17.135,29.973,17.478,28.025,25.866
b2381,ypdB,37.415,22.682,23.142,27.04,41.956,23.121,48.411,46.654
b2382,ypdC,28.519,15.014,14.52,18.033,28.64,12.857,28.266,23.433
b2383,fryA,1.403,1.457,0.854,1.252,1.741,0.984,1.686,1.851
b2384,ypdE,0.359,0.56,0.401,0.276,0.515,0.215,0.936,0.439
b2385,ypdF,0.343,0.209,0.192,0.216,0.671,0.206,0.72,0.929
b2386,fryC,0.776,0.162,0.208,0.334,0.486,0.072,0.238,0.287
b2387,fryB,1.216,0,0.159,0.319,0.149,0.137,0.66,0.995
b2388,glk,46.341,48.322,57.616,65.631,42.179,38.883,150.968,144.482
b2389,yfeO,3.676,2.733,4.138,4.227,3.632,3.66,5.966,5.28
b2390,ypeC,8.66,7.107,7.158,9.877,8.168,7.375,8.085,7.561
